School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,11.69%,383,985,30.06%,37.78%,1238,20.48%,671
2021-2022,10.98%,350,965,30.28%,38.91%,1240,19.83%,632
2020-2021,11.10%,308,881,31.76%,37.82%,1049,19.32%,536
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,12.75%,368,962,33.33%,32.02%,924,21.90%,632
2017-2018,13.02%,344,863,32.66%,32.51%,859,21.80%,576
2016-2017,12.13%,288,801,33.73%,31.79%,755,22.36%,531
2015-2016,11.02%,222,721,35.78%,30.87%,622,22.33%,450
