School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,16.37%,34.75%,22.99%,25.90%,2934,2604,3936,1854
2021-2022,16.50%,33.96%,22.78%,26.74%,3078,2622,3908,1899
