School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,7.1%,41.1%,25.7%,26.1%,559,2022,3233,2057
2021-2022,7.5%,40.9%,30.0%,21.6%,558,2239,3049,1614
2020-2021,7.8%,40.4%,28.5%,23.3%,571,2070,2937,1696
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
