School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,13.4%,30.5%,38.5%,17.6%,1265,3639,2886,1664
2021-2022,10.8%,30.6%,43.7%,14.9%,973,3956,2774,1348
2020-2021,13.0%,30.7%,41.7%,14.6%,1121,3584,2640,1253
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,14.6%,31.1%,34.6%,19.7%,1317,3129,2810,1777
2017-2018,14.8%,32.2%,34.8%,18.2%,1354,3169,2934,1661
2016-2017,14.6%,34.6%,31.5%,19.3%,1298,2795,3069,1717
2015-2016,15.3%,34.3%,28.8%,21.6%,1388,2602,3101,1955
