School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,27.0%,18.0%,24.7%,30.3%,24,22,16,27
2021-2022,22.4%,14.3%,20.4%,42.9%,22,20,14,42
2020-2021,26.6%,13.8%,31.9%,27.7%,25,30,13,26
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,20.9%,22.7%,30.0%,26.4%,23,33,25,29
2017-2018,24.4%,15.1%,31.4%,29.1%,21,27,13,25
2016-2017,35.2%,26.1%,14.8%,23.9%,31,13,23,21
2015-2016,27.3%,18.2%,20.2%,34.3%,27,20,18,34
