School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,24.8%,18.6%,23.5%,33.1%,1931,1833,1453,2577
2021-2022,16.6%,21.4%,32.9%,29.1%,1227,2427,1578,2152
2020-2021,18.1%,21.4%,29.6%,30.8%,1310,2142,1549,2225
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,18.4%,22.1%,27.3%,32.1%,1379,2048,1660,2408
2017-2018,18.7%,21.6%,28.2%,31.5%,1444,2173,1662,2431
2016-2017,19.7%,21.7%,25.5%,33.1%,1493,1927,1638,2502
2015-2016,23.1%,20.1%,23.6%,33.2%,1768,1804,1538,2542
