School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,15.61%,9933,19093,30.01%,31.66%,20148,22.72%,14457
2021-2022,14.66%,9323,19487,30.65%,32.14%,20436,22.54%,14331
2020-2021,13.75%,8146,18737,31.63%,32.10%,19011,22.52%,13338
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,17.97%,11674,19894,30.63%,26.43%,17165,24.97%,16217
2017-2018,17.36%,11246,20188,31.17%,26.11%,16915,25.36%,16427
2016-2017,16.76%,10718,20136,31.49%,26.15%,16721,25.60%,16372
2015-2016,16.43%,10069,20028,32.68%,24.28%,14882,26.61%,16309
