School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,3.34%,82,456,18.59%,67.22%,1649,10.84%,266
2021-2022,3.66%,78,434,20.35%,64.18%,1369,11.81%,252
2020-2021,2.78%,55,394,19.94%,63.82%,1261,13.46%,266
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,3.99%,98,551,22.45%,60.51%,1485,13.04%,320
2017-2018,3.07%,82,632,23.68%,60.17%,1606,13.08%,349
2016-2017,3.06%,78,582,22.83%,60.49%,1542,13.61%,347
2015-2016,2.95%,79,666,24.83%,58.28%,1563,13.94%,374
