School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,16.68%,11191,16671,24.84%,30.20%,20266,28.29%,18984
2021-2022,16.96%,11448,16839,24.95%,28.90%,19504,29.19%,19700
2020-2021,16.83%,10529,15730,25.14%,28.47%,17815,29.56%,18500
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,18.93%,12920,16508,24.19%,25.76%,17580,31.11%,21233
2017-2018,18.79%,12735,16453,24.28%,25.20%,17073,31.73%,21500
2016-2017,18.23%,11948,16354,24.96%,24.82%,16264,31.99%,20960
2015-2016,18.10%,11889,16261,24.75%,25.19%,16552,31.96%,20997
