School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,40.3%,40.3%
2016-2017,37.9%,37.9%
2017-2018,39.1%,39.1%
2018-2019,38.8%,38.8%
2019-2020,N/A,N/A
2020-2021,31.3%,31.3%
2021-2022,32.5%,32.5%
2022-2023,34.0%,34.0%
