School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,41.4%,41.4%
2016-2017,40.1%,40.1%
2017-2018,38.8%,38.8%
2018-2019,41.5%,41.5%
2019-2020,N/A,N/A
2020-2021,34.8%,34.8%
2021-2022,35.3%,35.3%
2022-2023,34.6%,34.6%
