School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,15.17%,10022,19601,29.66%,32.96%,21776,22.21%,14678
2021-2022,14.31%,9400,19899,30.29%,33.30%,21881,22.10%,14519
2020-2021,13.41%,8203,19122,31.26%,33.25%,20340,22.07%,13499
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,17.47%,11778,20473,30.37%,27.76%,18714,24.41%,16457
2017-2018,16.81%,11343,20804,30.83%,27.65%,18661,24.71%,16671
2016-2017,16.20%,10798,20812,31.23%,27.63%,18411,24.94%,16620
2015-2016,15.88%,10155,20735,32.43%,25.79%,16485,25.90%,16556
