School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,98.0%,226,11272,2.0%
2016-2017,93.0%,836,11079,7.0%
2017-2018,96.8%,365,11130,3.2%
2018-2019,98.7%,149,10971,1.3%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,93.6%,690,10107,6.4%
2021-2022,98.8%,137,10961,1.2%
2022-2023,99.3%,74,11159,0.7%
