School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,95.3%,510,10248,4.7%
2016-2017,97.1%,312,10560,2.9%
2017-2018,97.1%,320,10708,2.9%
2018-2019,97.0%,326,10626,3.0%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,87.2%,1473,10022,12.8%
2021-2022,94.0%,717,11159,6.0%
2022-2023,96.7%,379,11035,3.3%
