School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,13.80%,1486,3203,29.75%,35.60%,3833,20.84%,2244
2021-2022,13.58%,1482,3400,31.15%,33.53%,3659,21.74%,2373
2020-2021,12.87%,1346,3310,31.64%,33.60%,3515,21.88%,2289
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,16.45%,1863,3516,31.05%,27.40%,3103,25.10%,2842
2017-2018,15.39%,1661,3518,32.59%,28.66%,3094,23.37%,2523
2016-2017,15.85%,1719,3488,32.16%,27.74%,3009,24.26%,2631
2015-2016,14.98%,1539,3535,34.40%,24.17%,2484,26.46%,2719
