School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,96.3%,406,10557,3.7%
2016-2017,97.5%,293,11347,2.5%
2017-2018,98.6%,161,11452,1.4%
2018-2019,98.5%,181,11767,1.5%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,92.5%,818,10032,7.5%
2021-2022,98.6%,156,11190,1.4%
2022-2023,98.8%,129,11002,1.2%
