School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,96.1%,2574,63931,3.9%
2016-2017,97.8%,1520,66641,2.2%
2017-2018,98.1%,1302,67479,1.9%
2018-2019,98.1%,1293,67422,1.9%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,91.0%,6013,61164,9.0%
2021-2022,96.7%,2232,65699,3.3%
2022-2023,98.3%,1148,66077,1.7%
