School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,22.40%,114,133,26.13%,19.25%,98,32.22%,164
2021-2022,20.56%,95,112,24.24%,15.58%,72,39.61%,183
2020-2021,20.73%,85,96,23.41%,15.12%,62,40.73%,167
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,27.55%,127,78,16.92%,12.80%,59,42.73%,197
2017-2018,24.41%,113,111,23.97%,12.96%,60,38.66%,179
2016-2017,28.83%,126,94,21.51%,11.90%,52,37.76%,165
2015-2016,23.58%,108,97,21.18%,18.12%,83,37.12%,170
