School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,50.1%,50.1%
2016-2017,50.2%,50.2%
2017-2018,50.5%,50.5%
2018-2019,50.0%,50.0%
2019-2020,N/A,N/A
2020-2021,46.4%,46.4%
2021-2022,46.2%,46.2%
2022-2023,45.0%,45.0%
