School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,97.7%,1557,65699,2.3%
2016-2017,95.1%,3393,65526,4.9%
2017-2018,97.4%,1791,67761,2.6%
2018-2019,98.2%,1279,68241,1.8%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,92.0%,5439,62574,8.0%
2021-2022,98.2%,1263,67491,1.8%
2022-2023,98.5%,989,67112,1.5%
