School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,12.50%,37.50%,32.50%,17.50%,7,13,15,5
2021-2022,*,37.21%,32.56%,23.26%,10,14,16,*
