School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,6.5%,40.5%,28.7%,24.3%,616,2712,3821,2291
2021-2022,6.6%,40.0%,33.4%,19.9%,598,3020,3618,1801
2020-2021,7.2%,39.7%,31.3%,21.9%,617,2685,3410,1879
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
