School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,19.89%,34.47%,13.87%,31.78%,3994,1743,4332,2500
2021-2022,18.99%,35.29%,14.38%,31.32%,4371,2006,4925,2650
