School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,2.39%,31.34%,55.74%,10.53%,88,466,262,20
2021-2022,2.53%,30.76%,58.29%,8.15%,58,415,219,18
