School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,*,39.4%,47.9%,9.9%,*,34,28,7
2021-2022,,48.3%,46.6%,*,,27,28,*
2020-2021,,38.4%,48.8%,12.8%,,42,33,11
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
