School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,27.78%,110,81,20.45%,16.67%,66,35.10%,139
2021-2022,27.71%,115,85,20.48%,18.80%,78,33.01%,137
2020-2021,23.94%,85,88,24.79%,16.90%,60,34.37%,122
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,27.23%,116,83,19.48%,13.85%,59,39.44%,168
2017-2018,27.55%,135,94,19.18%,11.43%,56,41.84%,205
2016-2017,25.69%,131,109,21.37%,10.78%,55,42.16%,215
2015-2016,28.91%,157,90,16.57%,15.29%,83,39.23%,213
