School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,7.97%,39.49%,33.11%,19.43%,1835,3128,3730,753
2021-2022,7.16%,39.49%,33.01%,20.35%,1740,2823,3377,612
