School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,16.4%,23.1%,32.6%,27.9%,59,117,83,100
2021-2022,9.4%,16.9%,48.1%,25.6%,30,154,54,82
2020-2021,14.2%,23.7%,36.2%,25.9%,33,84,55,60
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,13.5%,28.5%,29.5%,28.5%,38,83,80,80
2017-2018,10.1%,26.3%,34.2%,29.4%,23,78,60,67
2016-2017,14.1%,18.2%,35.9%,31.8%,28,71,36,63
2015-2016,12.4%,28.9%,29.4%,29.4%,24,57,56,57
