School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,13.09%,38.61%,21.21%,27.09%,2895,2267,4126,1399
2021-2022,12.39%,39.96%,20.07%,27.58%,3033,2207,4394,1363
