School Year,Race,Novice,Nearing Proficient,Proficient,Advanced,Advanced Students,Proficient Students,Nearing Proficient Students,Novice Students
2021-2022,American Indian Students,36.34%,40.66%,17.78%,5.22%,93,317,725,648
2021-2022,Non-Native Students,17.88%,36.70%,29.26%,16.15%,3094,5606,7031,3426
2022-2023,American Indian Students,36.05%,41.58%,17.14%,5.23%,86,282,684,593
2022-2023,Non-Native Students,18.54%,36.61%,28.38%,16.47%,3095,5333,6879,3484
