School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,7.58%,2194,8384,28.96%,47.11%,13637,16.35%,4733
2021-2022,6.81%,1744,7559,29.52%,48.29%,12364,15.38%,3937
2020-2021,6.07%,1242,6173,30.16%,48.94%,10015,14.83%,3035
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,9.77%,2996,9611,31.34%,39.90%,12236,18.99%,5823
2017-2018,9.97%,3280,10340,31.44%,39.33%,12937,19.26%,6334
2016-2017,9.33%,2998,10281,32.00%,39.11%,12568,19.56%,6285
2015-2016,9.09%,2722,10095,33.72%,36.76%,11005,20.43%,6118
