School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,17.25%,11014,16053,25.15%,28.63%,18278,28.96%,18489
2021-2022,17.43%,11262,16299,25.23%,27.62%,17841,29.72%,19202
2020-2021,17.34%,10395,15221,25.39%,27.17%,16288,30.10%,18046
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,19.54%,12713,15826,24.33%,24.33%,15826,31.80%,20686
2017-2018,19.44%,12521,15704,24.38%,23.68%,15252,32.49%,20928
2016-2017,18.85%,11747,15629,25.07%,23.28%,14511,32.80%,20444
2015-2016,18.78%,11699,15479,24.84%,23.58%,14692,32.80%,20441
