School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,4.4%,26.6%,58.2%,10.8%,139,1820,833,337
2021-2022,4.0%,25.3%,63.4%,7.2%,106,1661,663,189
2020-2021,4.5%,24.2%,63.5%,7.8%,86,1204,459,147
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,4.9%,29.3%,53.4%,12.3%,135,1460,802,336
2017-2018,5.2%,29.4%,54.8%,10.6%,158,1660,891,322
2016-2017,5.6%,32.6%,48.6%,13.2%,156,1359,912,370
2015-2016,6.7%,33.9%,45.7%,13.8%,197,1350,1002,408
