School Year,Students Who Tested,Percent Assessed,Students Not Tested,Percent Not Assessed
2015-2016,9286,93.3%,667,6.7%
2016-2017,9107,92.7%,715,7.3%
2017-2018,9392,94.0%,595,6.0%
2018-2019,9264,93.3%,662,6.7%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,8843,87.2%,1294,12.8%
2021-2022,9297,91.9%,821,9.0%
2022-2023,9738,93.4%,692,7.7%
