School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,36.6%,36.6%
2016-2017,35.9%,35.9%
2017-2018,37.8%,37.8%
2018-2019,36.5%,36.5%
2019-2020,N/A,N/A
2020-2021,31.3%,31.3%
2021-2022,30.5%,30.5%
2022-2023,31.9%,31.9%
