School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,95.5%,486,10277,4.5%
2016-2017,97.7%,256,10847,2.3%
2017-2018,97.4%,285,10796,2.6%
2018-2019,97.8%,255,11324,2.2%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,89.4%,1246,10460,10.6%
2021-2022,95.0%,569,10914,5.0%
2022-2023,97.6%,263,10766,2.4%
