School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,98.2%,208,11309,1.8%
2016-2017,92.2%,904,10680,7.8%
2017-2018,97.1%,342,11567,2.9%
2018-2019,98.6%,157,11379,1.4%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,94.0%,660,10353,6.0%
2021-2022,99.0%,116,10968,1.0%
2022-2023,99.2%,93,11051,0.8%
