School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,21.01%,2345,2796,25.06%,31.71%,3539,22.22%,2479
2021-2022,21.40%,2346,2834,25.86%,30.03%,3292,22.71%,2489
2020-2021,20.86%,2108,2644,26.16%,30.23%,3055,22.76%,2300
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,23.23%,2549,2800,25.52%,26.08%,2861,25.17%,2761
2017-2018,24.47%,2723,2893,25.99%,24.42%,2718,25.12%,2796
2016-2017,23.39%,2591,2802,25.29%,25.65%,2842,25.67%,2844
2015-2016,23.03%,2596,3005,26.66%,25.30%,2852,25.01%,2819
