School Year,Students Who Tested,Percent Assessed,Students Not Tested,Percent Not Assessed
2015-2016,9276,93.2%,677,6.8%
2016-2017,9098,92.6%,724,7.4%
2017-2018,9375,93.9%,612,6.1%
2018-2019,9259,93.3%,667,6.7%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,8834,87.1%,1303,12.9%
2021-2022,9280,91.7%,838,9.2%
2022-2023,9719,93.2%,711,7.9%
