School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,96.7%,378,11139,3.3%
2016-2017,97.9%,238,11346,2.1%
2017-2018,98.7%,159,11750,1.3%
2018-2019,98.4%,187,11349,1.6%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,93.7%,693,10320,6.3%
2021-2022,98.7%,144,10940,1.3%
2022-2023,99.1%,103,11041,0.9%
