School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,14.11%,1565,3545,31.97%,34.03%,3774,19.89%,2206
2021-2022,13.13%,1387,3525,33.37%,34.17%,3609,19.32%,2041
2020-2021,12.38%,1270,3556,34.67%,33.99%,3487,18.96%,1945
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,16.56%,1887,3682,32.31%,28.87%,3290,22.26%,2537
2017-2018,15.44%,1770,3736,32.59%,28.31%,3246,23.66%,2712
2016-2017,15.40%,1670,3600,33.20%,28.93%,3137,22.47%,2436
2015-2016,16.14%,1700,3528,33.50%,26.19%,2758,24.17%,2545
