School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,16.83%,1858,3499,31.69%,23.54%,2599,27.94%,3085
2021-2022,14.99%,1640,3652,33.38%,24.89%,2723,26.74%,2925
2020-2021,13.30%,1373,3538,34.28%,25.90%,2673,26.51%,2736
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,17.27%,1960,3784,33.34%,21.23%,2409,28.16%,3196
2017-2018,16.56%,1946,3961,33.71%,21.84%,2566,27.89%,3277
2016-2017,15.60%,1770,3909,34.45%,20.91%,2373,29.03%,3294
2015-2016,15.77%,1757,3913,35.13%,20.46%,2279,28.64%,3190
