School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,14.23%,1583,3031,27.25%,27.43%,3051,31.09%,3459
2021-2022,14.63%,1587,3054,28.15%,26.11%,2832,31.11%,3375
2020-2021,14.51%,1517,2989,28.59%,25.33%,2649,31.57%,3301
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,16.41%,1871,3026,26.55%,22.39%,2552,34.65%,3950
2017-2018,16.62%,1904,3001,26.19%,23.13%,2650,34.06%,3902
2016-2017,14.91%,1622,3128,28.76%,22.73%,2472,33.60%,3655
2015-2016,15.91%,1711,2852,26.51%,21.72%,2336,35.87%,3858
