School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,51.1%,51.1%
2016-2017,48.0%,48.0%
2017-2018,49.0%,49.0%
2018-2019,47.8%,47.8%
2019-2020,N/A,N/A
2020-2021,47.9%,47.9%
2021-2022,45.6%,45.6%
2022-2023,45.4%,45.4%
