School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,48.9%,48.9%
2016-2017,49.4%,49.4%
2017-2018,49.3%,49.3%
2018-2019,47.3%,47.3%
2019-2020,N/A,N/A
2020-2021,46.2%,46.2%
2021-2022,45.9%,45.9%
2022-2023,46.3%,46.3%
