School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,97.4%,284,10479,2.6%
2016-2017,97.9%,228,10875,2.1%
2017-2018,97.9%,238,10843,2.1%
2018-2019,97.7%,262,11317,2.3%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,90.9%,1068,10638,9.1%
2021-2022,97.7%,260,11223,2.3%
2022-2023,98.1%,207,10822,1.9%
