School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,97.7%,1512,64993,2.3%
2016-2017,95.2%,3281,64880,4.8%
2017-2018,97.5%,1707,67074,2.5%
2018-2019,98.2%,1210,67505,1.8%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,92.2%,5251,61926,7.8%
2021-2022,98.2%,1194,66737,1.8%
2022-2023,98.6%,938,66287,1.4%
