School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,13.1%,30.1%,39.5%,17.2%,1279,3846,2935,1678
2021-2022,10.5%,30.2%,44.7%,14.6%,978,4155,2809,1355
2020-2021,12.7%,30.2%,42.9%,14.2%,1123,3793,2667,1260
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,14.2%,30.8%,35.6%,19.4%,1320,3301,2850,1793
2017-2018,14.4%,31.7%,36.1%,17.7%,1356,3395,2975,1666
2016-2017,14.3%,34.1%,32.6%,18.9%,1302,2972,3110,1723
2015-2016,15.0%,33.9%,29.9%,21.2%,1392,2776,3148,1970
