School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,18.45%,2028,2426,22.07%,32.79%,3605,26.70%,2935
2021-2022,19.55%,2192,2504,22.33%,30.11%,3377,28.02%,3142
2020-2021,19.62%,1981,2251,22.29%,30.33%,3063,27.77%,2804
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,21.88%,2577,2458,20.87%,25.57%,3012,31.69%,3733
2017-2018,20.72%,2350,2416,21.31%,25.53%,2895,32.44%,3679
2016-2017,21.15%,2281,2329,21.59%,24.63%,2657,32.63%,3520
2015-2016,17.97%,1928,2367,22.06%,28.93%,3104,31.05%,3332
