School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,22.98%,2540,2389,21.62%,32.06%,3543,23.34%,2579
2021-2022,21.68%,2378,2381,21.71%,32.39%,3553,24.22%,2656
2020-2021,21.63%,2239,2118,20.46%,33.38%,3456,24.53%,2540
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,23.57%,2682,2433,21.38%,31.29%,3560,23.76%,2704
2017-2018,24.27%,2807,2469,21.35%,29.39%,3400,24.99%,2891
2016-2017,23.06%,2463,2462,23.05%,27.50%,2937,26.39%,2818
2015-2016,23.32%,2637,2452,21.68%,29.41%,3326,25.59%,2894
