School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,37.2%,37.2%
2016-2017,40.0%,40.0%
2017-2018,39.8%,39.8%
2018-2019,40.3%,40.3%
2019-2020,N/A,N/A
2020-2021,31.9%,31.9%
2021-2022,33.7%,33.7%
2022-2023,33.4%,33.4%
