School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,97.2%,319,11179,2.8%
2016-2017,98.2%,217,11698,1.8%
2017-2018,98.4%,186,11309,1.6%
2018-2019,98.6%,160,10960,1.4%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,93.3%,725,10072,6.7%
2021-2022,98.5%,164,10934,1.5%
2022-2023,99.2%,90,11143,0.8%
