School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,15.27%,36.83%,20.80%,27.11%,5741,4405,7800,3233
2021-2022,14.88%,37.09%,20.25%,27.77%,6053,4414,8083,3244
