School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,27.63%,113,99,24.21%,20.54%,84,27.63%,113
2021-2022,28.19%,115,111,27.21%,19.36%,79,25.25%,103
2020-2021,23.94%,85,108,30.42%,22.25%,79,23.38%,83
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,31.65%,138,133,30.50%,11.24%,49,26.61%,116
2017-2018,28.37%,141,130,26.16%,14.89%,74,30.58%,152
2016-2017,26.77%,140,138,26.39%,14.91%,78,31.93%,167
2015-2016,27.21%,148,141,25.92%,14.89%,81,31.99%,174
