School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,8.5%,40.3%,23.1%,28.1%,559,1527,2657,1858
2021-2022,8.1%,40.5%,28.5%,22.9%,540,1901,2702,1527
2020-2021,8.3%,39.9%,27.9%,23.9%,579,1938,2767,1657
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
