School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,6.99%,29,132,31.81%,46.27%,192,14.94%,62
2021-2022,7.43%,33,116,26.13%,50.23%,223,16.22%,72
2020-2021,7.58%,31,131,32.03%,44.99%,184,15.40%,63
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,6.80%,34,134,26.80%,46.40%,232,20.00%,100
2017-2018,7.36%,41,180,32.32%,42.19%,235,18.13%,101
2016-2017,6.76%,40,190,32.09%,43.92%,260,17.23%,102
2015-2016,6.61%,38,189,32.87%,41.04%,236,19.48%,112
