School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,15.1%,28.6%,38.5%,17.7%,763,1940,1443,893
2021-2022,12.4%,28.8%,43.8%,15.0%,579,2041,1343,701
2020-2021,14.2%,29.2%,42.4%,14.2%,635,1895,1304,636
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,16.7%,28.8%,35.0%,19.5%,777,1631,1339,909
2017-2018,15.9%,30.5%,35.9%,17.7%,759,1713,1454,845
2016-2017,16.5%,33.0%,32.2%,18.2%,779,1516,1554,859
2015-2016,17.1%,32.1%,30.1%,20.7%,813,1435,1528,987
