School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,9.43%,360,1194,31.27%,41.99%,1603,17.31%,661
2021-2022,8.23%,290,1058,30.04%,44.15%,1555,17.58%,619
2020-2021,8.30%,268,1040,32.22%,42.50%,1372,16.98%,548
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,10.33%,351,1164,34.26%,36.46%,1239,18.95%,644
2017-2018,10.70%,354,1077,32.56%,37.39%,1237,19.35%,640
2016-2017,9.65%,298,1068,34.57%,35.58%,1099,20.20%,624
2015-2016,8.75%,256,1019,34.84%,34.60%,1012,21.81%,638
