School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,22.9%,19.1%,26.5%,31.5%,2136,2475,1779,2939
2021-2022,15.1%,21.0%,36.1%,27.7%,1347,3226,1876,2475
2020-2021,16.7%,21.3%,32.7%,29.3%,1425,2787,1812,2502
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,16.9%,22.4%,30.2%,30.4%,1513,2702,2007,2722
2017-2018,17.2%,21.4%,31.3%,30.1%,1553,2826,1936,2715
2016-2017,18.4%,21.7%,28.1%,31.7%,1625,2481,1916,2800
2015-2016,21.3%,20.6%,25.9%,32.2%,1910,2323,1851,2894
