School Year,Race,Novice,Nearing Proficient,Proficient,Advanced,Advanced Students,Proficient Students,Nearing Proficient Students,Novice Students
2021-2022,American Indian Students,34.31%,40.87%,20.14%,4.68%,40,172,349,293
2021-2022,Non-Native Students,15.89%,36.78%,32.25%,15.09%,1432,3061,3491,1508
2022-2023,American Indian Students,36.50%,42.00%,17.75%,3.75%,30,142,336,292
2022-2023,Non-Native Students,18.01%,36.88%,30.75%,14.36%,1348,2886,3462,1690
