School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,9.17%,2671,7564,25.96%,43.39%,12645,21.49%,6262
2021-2022,8.88%,2302,6835,26.36%,42.57%,11039,22.20%,5756
2020-2021,8.43%,1753,5545,26.67%,42.87%,8913,22.04%,4582
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,11.17%,3432,8015,26.09%,37.42%,11496,25.31%,7775
2017-2018,11.62%,3793,8595,26.34%,36.00%,11747,26.04%,8497
2016-2017,10.97%,3388,8373,27.11%,35.49%,10959,26.43%,8161
2015-2016,10.72%,3285,8335,27.21%,35.80%,10967,26.26%,8045
