School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,5.2%,18.7%,62.7%,13.4%,14,168,50,36
2021-2022,*,10.6%,77.5%,10.6%,*,183,25,25
2020-2021,*,16.0%,76.5%,6.7%,*,182,38,16
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,*,15.2%,70.4%,12.6%,*,157,34,28
2017-2018,*,15.3%,78.7%,4.9%,*,211,41,13
2016-2017,*,12.7%,77.8%,8.6%,*,172,28,19
2015-2016,3.9%,12.6%,73.2%,10.4%,9,169,29,24
