School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,9.60%,38.89%,28.49%,23.02%,290,359,490,121
2021-2022,8.20%,41.39%,27.48%,22.85%,276,332,500,99
