School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,11.0%,31.8%,40.6%,16.7%,516,1906,1492,785
2021-2022,8.6%,31.6%,45.6%,14.1%,399,2114,1466,654
2020-2021,11.2%,31.2%,43.4%,14.3%,488,1898,1363,624
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,11.8%,32.8%,36.2%,19.2%,543,1670,1511,884
2017-2018,12.9%,32.9%,36.4%,17.8%,597,1682,1521,821
2016-2017,11.9%,35.4%,33.1%,19.6%,523,1456,1556,864
2015-2016,12.8%,35.8%,29.6%,21.7%,579,1341,1620,983
